diff_id,language,gold,generated,bleu,rougeL,chrf,meteor,bertscore_f1,nli_entail,nli_contra,nli_neutral,nli_signed
84,cpp,[ Type checker ] Request member layout for a member of a finalized type .,Finalize type check for NominalTypeDecl,0.017192072348325798,0.23529411764705882,0.2695146711032309,0.22544642857142855,0.8539841175079346,0.0028759806882590055,0.001648142235353589,0.9954758286476135,0.0012278384529054165
148,cpp,Merge and generalize case 3 and case 6,Update prevector tester to use ConsumeIntegralInRange instead of ConsumeIntegral.,0.0,0.0,0.1491650461128306,0.0,0.8144544363021851,0.005661818198859692,0.068448007106781,0.9258902072906494,-0.06278618890792131
170,cpp,Moved API Breaking Changes section of the documentation above the programmer ' s FAQ .,API BREAKING CHANGES:,0.010211566521809648,0.375,0.03303363664838919,0.1358695652173913,0.8281378149986267,0.8496037721633911,0.05572831258177757,0.09466791152954102,0.7938754595816135
227,cpp,Allow cold change of active extruder ( ),Fix tool change function to check for hotend temperature.,0.04196114906296548,0.13333333333333333,0.21757933628810966,0.0617283950617284,0.8745535016059875,0.04990927129983902,0.10589958727359772,0.8441911935806274,-0.0559903159737587
624,cpp,[ renderer ] Don ' t adjust 3d rectangles in bypass mode,Fix stereo rendering in BaseRenderer.cpp.,0.033495035708457806,0.13333333333333333,0.22183192276734615,0.08849557522123892,0.8566769361495972,0.005375064443796873,0.387118935585022,0.6075059771537781,-0.3817438711412251
634,cpp,lua : Add support to use app . activeFrame with a Frame object,Update active frame number in App_set_activeFrame(),0.031157290929555895,0.2105263157894737,0.29031688874583966,0.04065040650406504,0.8518974781036377,0.020209606736898422,0.0027096066623926163,0.9770808219909668,0.017500000074505806
679,cpp,Updated expiration in seconds for benchmark transfer command .,Add expiration option to benchmark transfer subcommand.,0.1159119922599073,0.39999999999999997,0.5899287958768614,0.29040404040404044,0.9087406396865845,0.9236699342727661,0.0038355349097400904,0.0724945142865181,0.919834399363026
932,cpp,Add option to disable 077 umask ( create new files with system default umask ),Update help message for script verification threads and pid file.,0.0,0.0,0.18624123744217005,0.0,0.8579041361808777,0.021448668092489243,0.01860508881509304,0.9599462151527405,0.002843579277396202
997,cpp,Make remote FS work with GDNative on Android,Fix manifest and add missing icon files to APK.,0.0,0.0,0.08937141565008559,0.0617283950617284,0.8438423871994019,0.0030656380113214254,0.004125879146158695,0.99280846118927,-0.0010602411348372698
1118,cpp,! B ( CE - 10899 ) ( AISystem ) Sequence nodes : changed the way how nodes react on invalid sequence IDs to prevent consequential errors from preceding errors ( Approved by samuelk ),Refactor: Improve performance by using const SequenceId assignedSequenceId = GetAssignedSequenceId() instead of GetAssignedSequenceId() and checking if it's not null,0.015570261919657515,0.044444444444444446,0.2497935261210486,0.01497005988023952,0.814702570438385,0.005064504686743021,0.023704810068011284,0.971230685710907,-0.018640305381268263
281,cs,transmitthenet : Add daily show support for NEB . Resolves,Refactor: Improve search query URL construction.,0.0511459870708889,0.0,0.13309583031344122,0.0,0.8229116797447205,0.027744511142373085,0.854719340801239,0.11753614246845245,-0.8269748296588659
354,cs,"Adding docker files , modifying scripts and code to handle ubuntu 16 . 04",Add support for Ubuntu 16.04 runtime fallbacks.,0.0260859600387516,0.3,0.2250715451659756,0.03759398496240601,0.8829120993614197,0.03637856990098953,0.009685703553259373,0.9539356827735901,0.02669286634773016
427,cs,Added more conditions to sure it act as expected .,Update multi-threaded toplevels and first dialog toplevel.,0.043008477182523305,0.0,0.1669053544355525,0.0,0.8453593850135803,0.0011534389341250062,0.0009147663949988782,0.9979318380355835,0.00023867253912612796
461,cs,Add support for netcoreapp5 . 0 to micro benchmarks ( dotnet / extensions ),Update DefaultCoreConfig to support target frameworks.,0.031795892263857456,0.125,0.19682535419658745,0.07575757575757576,0.8454991579055786,0.1325932890176773,0.0027238454204052687,0.8646829128265381,0.12986944359727204
742,cs,Fixed touch capability on Windows 8 when multiple input devices are present,Update TouchPanelCapabilities to check for touch device presence and maximum touch count.,0.030890553181566974,0.08333333333333333,0.33932132170744184,0.08333333333333333,0.8720946311950684,0.007826652377843857,0.006928487215191126,0.9852448105812073,0.0008981651626527309
