diff_id,language,deb_nli_signed_diff→gold,deb_nli_signed_gold→gen_codellama-7b,deb_nli_signed_diff→gen_codellama-7b,deb_nli_signed_gold→gen_qwen2.5-coder-7b,deb_nli_signed_diff→gen_qwen2.5-coder-7b,deb_nli_signed_gold→gen_deepseek-6.7b,deb_nli_signed_diff→gen_deepseek-6.7b
84,cpp,0.9888458251953125,0.01214599609375,0.025850296020507812,0.047119140625,0.9965305328369141,-0.5291748046875,0.9654884338378906
148,cpp,-0.04815673828125,-0.5398635864257812,0.7565994262695312,-0.004360198974609375,0.51531982421875,0.004208564758300781,0.7902412414550781
170,cpp,0.2197265625,0.011566162109375,0.8424301147460938,0.004031181335449219,0.14404296875,-0.00205230712890625,0.5281982421875
227,cpp,-0.982421875,-0.04228973388671875,0.5140571594238281,0.0036840438842773438,0.9982192516326904,0.0017242431640625,-0.0011568069458007812
624,cpp,-0.78125,-0.033203125,0.12158203125,0.06671142578125,-0.00844573974609375,-0.0997314453125,-0.058563232421875
634,cpp,0.80810546875,0.032379150390625,0.7851638793945312,-0.01807403564453125,0.9640922546386719,0.024410247802734375,0.1087646484375
679,cpp,0.9913425445556641,0.378082275390625,0.9969806671142578,0.00846099853515625,0.9834976196289062,-0.106475830078125,0.75067138671875
932,cpp,0.876251220703125,-3.814697265625e-05,0.9600162506103516,-0.0032806396484375,0.011377334594726562,-0.7785415649414062,-0.90155029296875
997,cpp,-0.120849609375,0.00030422210693359375,0.47509765625,0.0006303787231445312,0.9543991088867188,0.0003814697265625,0.4801025390625
1118,cpp,-0.00115203857421875,-0.1667633056640625,0.0133209228515625,0.065338134765625,0.0038919448852539062,-0.58660888671875,0.893890380859375
1359,cpp,0.0029296875,-0.1282196044921875,0.732696533203125,-0.0324859619140625,0.98687744140625,0.004486083984375,0.08451080322265625
1361,cpp,0.0003037452697753906,0.0012989044189453125,0.27911376953125,-3.0517578125e-05,0.9812898635864258,0.002471923828125,0.08562469482421875
1392,cpp,-0.034210205078125,0.05300140380859375,0.0020008087158203125,0.054068565368652344,0.9782905578613281,0.0240478515625,0.003139495849609375
2189,cpp,-0.009521484375,0.025261878967285156,0.13122177124023438,-0.022918701171875,0.7589111328125,0.10565185546875,-0.03521728515625
2297,cpp,0.05780029296875,-0.003231048583984375,0.69189453125,-0.0027923583984375,0.59649658203125,-0.3027801513671875,0.857696533203125
2427,cpp,0.3414306640625,-0.195556640625,0.00016498565673828125,0.42388153076171875,0.9807429313659668,-0.274169921875,0.00038623809814453125
2472,cpp,0.698272705078125,-0.697601318359375,0.0017719268798828125,0.01983642578125,0.9668159484863281,-0.8935394287109375,0.973968505859375
