diff_id,language,has_intent,intent_tags,nli_signed_diff→gold,nli_signed_gold→gen_codellama-7b,nli_signed_gold→gen_qwen2.5-coder-7b,nli_signed_gold→gen_deepseek-6.7b
84,cpp,1,bracket,0.9832571698352695,-0.1950437817722559,0.1248164176940918,-0.8772872574627399
148,cpp,1,merge,0.2777671702206135,-0.6063806544989347,-0.20225122570991516,0.049676625058054924
170,cpp,0,plain,0.6060687638819218,0.00798130119801499,0.035132090968545526,0.009269288624636829
227,cpp,0,plain,0.8166554979979992,-0.05598799139261246,0.011263176798820496,-0.32211290672421455
624,cpp,1,bracket,-0.37823089212179184,-0.38174285599961877,-0.21713662217371166,-0.9160151276737452
634,cpp,0,plain,0.3253907412290573,0.017499812645837665,0.03023778274655342,0.038176679983735085
679,cpp,0,plain,0.7552451994270086,0.2666807919740677,0.08516404405236244,0.07530053239315748
932,cpp,0,plain,0.46790702280122787,-0.004250406287610531,0.0004881792701780796,-0.055583082139492035
997,cpp,0,plain,0.011767661198973656,-0.010127083398401737,0.006508884020149708,-0.07417106628417969
1118,cpp,1,"ticket,ce_flag",-0.028430385747924447,-0.015918582677841187,0.47942378476727754,0.31887318193912506
1359,cpp,1,ce_flag,-0.4130951017141342,-0.039723812602460384,0.001347595825791359,-0.5224835276603699
1361,cpp,1,branch,-0.03969741519540548,-0.0023859234643168747,-0.6946531124413013,0.014885132666677237
1392,cpp,1,"bracket,nfc",-0.9118197076022625,0.37488012574613094,-0.009720960631966591,-0.01510000228881836
2189,cpp,0,plain,0.7466925363987684,0.021741187432780862,-0.0007819095626473427,0.009282592684030533
2297,cpp,0,plain,0.4242363777011633,0.02280210331082344,0.0007044767262414098,-0.3395034745335579
2427,cpp,0,plain,0.5719452723860741,-0.1453841459006071,0.883323383750394,-0.52010627835989
2472,cpp,1,ce_flag,-0.7362004518508911,0.03127794712781906,0.004428804852068424,-0.9392522387206554
2737,cpp,0,plain,-0.32189249992370605,-0.268854764290154,0.5642032803152688,-0.2000715360045433
2909,cpp,0,plain,-0.40219342708587646,-0.0017269225791096687,0.04173726504086517,-0.9958989484293852
3002,cpp,1,bracket,0.05553584545850754,0.9829776636324823,0.9884382170057506,0.5042158085852861
3149,cpp,0,plain,0.8607185988221318,0.027829365571960807,0.6943951754365116,0.1809912547469139
3169,cpp,0,plain,0.07471124827861786,-0.02817206084728241,0.1277245155069977,0.0208223017398268
3229,cpp,0,plain,-0.04023096710443497,0.005139247281476855,-0.0001348369987681508,0.40999735891819
3431,cpp,0,plain,-0.4796903394162655,-0.878480187151581,-0.0020573758520185947,-0.189909677952528
3519,cpp,0,plain,0.3572881892323494,0.03548795357346535,-0.9959660720196553,0.058463290333747864
3745,cpp,1,bracket,-0.34102484583854675,-0.06203302927315235,0.014200101606547832,-0.006867642383440398
3892,cpp,0,plain,-0.26011646538972855,-0.7724161725491285,0.0020233989343978465,0.2932778596878052
3948,cpp,0,plain,0.39594387263059616,-0.2539901901036501,0.0108634460484609,0.023969249799847603
4117,cpp,0,plain,0.9883711204165593,0.8288010153919458,0.05276944860816002,0.44727696292102337
4183,cpp,1,bracket,0.053163180127739906,0.0024984217016026378,0.0009747463627718389,-0.292167603969574
